Moca|61834|-70.5230005859|19.396998142
Salcedo|45299|-70.4167014955|19.3830030235
Jimani|6567|-71.8509955327|18.4930021172
Comendador|43894|-71.7069954585|18.8759970016
Pedernales|11072|-71.7409975515|18.0379980114
Azua|59139|-70.7290015952|18.4539961294
Bonao|73269|-70.4089975692|18.9420031378
Bani|66709|-70.3310034658|18.2799989978
Hato Mayor|35999|-69.2569974727|18.7640011362
Monte Plata|15532|-69.7840015328|18.807003058
Nagua|33862|-69.8470014929|19.3760010789
Samana|11432|-69.3320036032|19.212003132
San Cristobal|154040|-70.1090005176|18.4159981025
El Seibo|23547|-69.0350034607|18.7640011362
Higuey|123787|-68.7079974901|18.6159960266
Georgetown|3584|-14.7670015233|13.5510030831
Basse Santa Su|14380|-14.2229964994|13.3100011215
Kerewan|2751|-16.09499647|13.4939971067
Mansa Konko|18672|-15.6785664397|13.3773120964
Sunyani|70299|-2.33600341635|7.33599899132
Ebebiyin|24831|11.330001556|2.15299799566
Viljandi|20309|25.59|58.3638889
Tchibanga|19365|11.0269984937|-2.85699595718
Madingou|22760|13.5540004942|-4.16400294242
Lamia|47246|22.4340035755|38.8989991541
Polygyros|5258|23.4530014764|40.3810021302
Komatini|45631|25.4167025619|41.1333030908
B'abda|9000|35.5332965182|33.8333040635
Ramla|63860|34.8667025234|31.9167001238
Nabatiye et Tahta|80000|35.4500016422|33.383304018
Mariehamn|10682|19.9490044719|60.0969961849
Hameenlinna|47261|24.4719995427|60.9969961103
Kouvola|31133|26.7090035108|60.8760000851
Mikkeli|46550|27.2850034763|61.6899961671
Ban Houayxay|6347|100.4127778|20.2775
Louang Namtha|3225|101.416698599|20.9500020476
Champasak|12994|105.866703627|14.8833001086
Saravan|5521|106.426998696|15.7159979953
Xam Nua|38992|104.033304705|20.4166980246
Phongsali|6000|102.09999668|21.6833039947
Attapu|4297|106.839000549|14.8079971004
Kinkala|13882|14.7619986062|-4.35599989705
Muineachan|5937|-6.9666667|54.25
Vejle|51177|9.53499649845|55.7090010284
Hillerod|28313|12.3166985359|55.9332990694
Soro|7167|11.5667016044|55.4329981145
Mali|5479|-12.3010014331|12.084003021
Tongue|25531|-11.670002477|11.4399990351
Kouroussa|14223|-9.89199854863|10.6530031016
Pita|20052|-12.4010005606|11.0799990981
Dalaba|6349|-12.272003566|10.6560000106
Boffa|2332|-14.0429964481|10.1850030675
Koundara|13990|-13.2959964256|12.4800031007
Gaoual|7461|-13.2129984273|11.7540001414
Telimele|30311|-13.0429975607|10.9050031072
Forecariah|12358|-13.0979965512|9.4300020756
Beyla|13204|-8.65700045383|8.68699798703
Gueckedou|221715|-10.1510004988|8.55399612239
Dinguiraye|6062|-10.7260014395|11.2989960356
Dabola|13057|-11.1089964894|10.7479980032
Touba|27504|-7.68400154925|8.28000002881
Bouafle|60962|-5.74800242826|6.97799710395
Divo|127867|-5.36000348347|5.83900203727
Toumodi|39005|-5.01900239435|6.5520001323
Aboisso|37654|-3.20000353009|5.46669905207
Santa Cruz Del Quiche|23618|-91.1332976255|15.0333031025
Buea|90088|9.23100351293|4.15500308735
Kruje|21286|19.7970035938|41.518998172
Fier|82297|19.5730025959|40.7300040233
Lushnje|41469|19.7160034797|40.940001132
Puke|6495|19.8833044805|42.0333030162
Bajram Curri|7967|20.08330257|42.3333000678
Kukes|17832|20.4339965335|42.0830010687
Sarande|15147|19.9999985924|39.877002119
Erseke|7890|20.6832965077|40.3333021274
Pogradec|40000|20.6640006166|40.8999961193
Korce|58259|20.7666635346|40.6166760144
Berat|46866|19.9719995847|40.7099970489
Corovode|14046|20.2332966278|40.5167040262
Gramsh|11556|20.1999965165|40.8666960081
Librazhd|12691|20.3667035964|41.200002107
Tepelene|11955|20.0332985382|40.2832980956
Permet|10686|20.3519975601|40.2339960454
Gjirokaster|23437|20.1490025614|40.0789980928
Peshkopi|14848|20.4333034879|41.6833020982
Burrel|15405|20.0160005313|41.6259990787
Lezhe|18695|19.6540025445|41.7879991414
Rreshen|10064|19.8167045889|41.7833010603
